Invoice Date,Amount,Customer,Description
2025-01-15,1250.50,ABC Corp,Web Development Project
2025-01-22,850.00,XYZ Ltd,Logo Design
2025-01-28,2100.75,DEF Inc,Consulting Services
2025-02-03,750.00,GHI Company,Monthly Support
2025-02-12,1800.25,JKL Group,E-commerce Setup
2025-02-18,950.00,MNO Partners,SEO Optimization
2025-02-25,1650.75,PQR Industries,Custom Development
2025-03-05,1425.50,STU Enterprises,Mobile App Design
2025-03-14,2250.00,VWX Corporation,System Integration
2025-03-22,875.25,YZA Holdings,Maintenance Contract
2025-03-29,1950.75,BCD Solutions,Database Migration
2025-04-08,1325.00,EFG Technologies,API Development
2025-04-16,1750.50,HIJ Ventures,Cloud Migration
2025-04-23,950.00,KLM Systems,Security Audit
2025-04-30,2475.25,NOP Digital,Full Stack Development
2025-05-07,1125.75,QRS Innovations,UI/UX Design
2025-05-15,1850.00,TUV Enterprises,DevOps Setup
2025-05-22,725.50,WXY Group,Bug Fixes
2025-05-29,2150.25,ZAB Corp,Performance Optimization
2025-06-05,1675.00,CDE Industries,Data Analytics 
